# All infantry equipment

equipments = {

	infantry_equipment = {
		year = 1751
	
		is_archetype = yes
		picture = archetype_infantry_equipment		
		is_buildable = no
		type = infantry
		group_by = archetype
		
		interface_category = interface_category_land
		
		active = yes
		
		#Misc Abilities
		reliability = 0.9
		maximum_speed = 4
		
		#Defensive Abilities
		defense = 15
		breakthrough = 1.5
		hardness = 0
		armor_value = 0

		#Offensive Abilities
		soft_attack = 2.25
		hard_attack = 0.375
		ap_attack = 0.75
		air_attack = 0

		#Space taken in convoy
		lend_lease_cost = 1
		
		build_cost_ic = 0.3
		resources = {
			steel = 2
		}
		
	}
	
	# Примитивное оружие

	infantry_equipment_1 = {
		year = 1700
	
		archetype = infantry_equipment
		active = yes
		priority = 10
		visual_level = 0
	}
	
	# Средневековое оружие

	infantry_equipment_2 = {
		year = 1700
		
		parent = infantry_equipment_1
	
		archetype = infantry_equipment
		priority = 10
		visual_level = 1
	}
	
	# Фитильный огнестрел

	infantry_equipment_3 = {
		year = 1700
		
		parent = infantry_equipment_2
	
		archetype = infantry_equipment
		priority = 10
		visual_level = 2
	}
	
	# Кремневой огнестрел

	infantry_equipment_4 = {
		year = 1700
		
		parent = infantry_equipment_3
	
		archetype = infantry_equipment
		priority = 10
		visual_level = 3
	}
	
	# Ранний магазинный огнестрел

	infantry_equipment_5 = {
		year = 1700
		
		parent = infantry_equipment_4
	
		archetype = infantry_equipment
		priority = 10
		visual_level = 4
	}
	
	# Магазинный огнестрел

	infantry_equipment_6 = {
		year = 1752
		
		
		parent = infantry_equipment_5
	
		archetype = infantry_equipment
		priority = 10
		visual_level = 5
		
		#Defensive Abilities
		defense = 16.5
		breakthrough = 2.25

		#Offensive Abilities
		soft_attack = 4.5
		hard_attack = 0.75
		ap_attack = 3
		air_attack = 0

		build_cost_ic = 0.375
		
	}
	
	# Ранний автоматический огнестрел

	infantry_equipment_7 = {
		year = 1755
		
		parent = infantry_equipment_6
	
		archetype = infantry_equipment
		priority = 10
		visual_level = 6
		
		#Defensive Abilities
		defense = 21
		breakthrough = 3

		#Offensive Abilities
		soft_attack = 6.75
		hard_attack = 1.125
		ap_attack = 3.75
		air_attack = 0
		
		build_cost_ic = 0.45
		resources = {
			steel = 2
		}
	}
	
	# Автоматический огнестрел

	infantry_equipment_8 = {
		year = 1758
		
		parent = infantry_equipment_7
	
		archetype = infantry_equipment
		priority = 10
		visual_level = 7
		
		#Defensive Abilities
		defense = 25.5
		breakthrough = 3.75

		#Offensive Abilities
		soft_attack = 9
		hard_attack = 1.5
		ap_attack = 7.5
		air_attack = 0
		
		reliability = 0.8
		build_cost_ic = 0.525
		resources = {
			steel = 3
		}
	}

}
